,conversation,speaker,backchannel_given,backchannel_recieved
1,2f749ec2-aa7b-4a41-8aa1-5bd7a387b90a,5b315e97f23189000161a03d,61,157
0,dcb30b14-8110-4106-81e2-d64b96e205e7,5c5f7a56054ae60001d066f2,219,35
1,dcb30b14-8110-4106-81e2-d64b96e205e7,5e4d9878130d9e1fb88e68d4,35,219
0,31a7caa4-f825-4995-8d4d-2126124ff47c,5590e768fdf99b1e5e44e525,178,124
1,31a7caa4-f825-4995-8d4d-2126124ff47c,5ddea057ffc3d8e00ec74d1b,124,178
0,d5e05d2b-ef25-4013-a24d-ab22a1e6b323,5d10d808156091001a74639e,92,126
1,d5e05d2b-ef25-4013-a24d-ab22a1e6b323,5dcfe5ec41fb3f0de0080f1a,126,92
0,7ddf5d36-b6e8-450a-ac5a-52e2eb0556e1,5eaa26c17c3cbc1ae4881baa,74,214
1,7ddf5d36-b6e8-450a-ac5a-52e2eb0556e1,5eb9cbed3af3720f69cb5913,214,74
0,5d36ed94-22ec-4635-afc2-98645711b518,5eb1e9b96c1f4713ed5d0a1e,122,185
1,5d36ed94-22ec-4635-afc2-98645711b518,5efbe4f0c9f37c1a3b70afaf,185,122
0,c8835201-cedb-4a71-9f24-818950cbfdd6,5eb86384ed81047c65376aea,188,92
1,c8835201-cedb-4a71-9f24-818950cbfdd6,5f0e16a89f0d68127670c288,92,188
0,35ec4d47-9fa9-4868-b51a-ee38999f7953,5c707aa503f85b0001af8c7b,225,117
1,35ec4d47-9fa9-4868-b51a-ee38999f7953,5dd406d9c23e0d3e6dacc034,117,225
0,e3a0559e-a441-433e-8d8d-a751b548e7e9,5f29dfe7512c2817f7957e1a,144,224
1,e3a0559e-a441-433e-8d8d-a751b548e7e9,5f7794db1fcf8419cb697f2d,224,144
0,19c78684-fc44-482c-a0d3-d19223b4ba65,5c7f6bbdc2d6ce00015af169,108,83
1,19c78684-fc44-482c-a0d3-d19223b4ba65,5ea8154dcfd4dd20473ed88e,83,108
0,34feb55e-d811-4684-89a3-362f4297b7fc,5f4f29b8c154ed17df64546b,41,60
1,34feb55e-d811-4684-89a3-362f4297b7fc,5f5fdd9ae0a5c90b28f6372e,60,41
0,05f2e66d-b3b6-4bdc-8ae6-9b0241a58642,5f5128258dff8f30b0c3c1eb,178,256
1,05f2e66d-b3b6-4bdc-8ae6-9b0241a58642,5f568b81712ed00cb3759181,256,178
0,9f3ab90a-2c3c-4774-a703-f6188d446397,5d37c1724803980016b2207e,110,86
1,9f3ab90a-2c3c-4774-a703-f6188d446397,5eb0c3f05aeb111911ad74de,86,110
0,f5de68ee-6513-406a-b0fc-49f20873faef,5ebc6d34046b2a0bc9f2b3b8,129,78
1,f5de68ee-6513-406a-b0fc-49f20873faef,5f0298ad4a1b58435567e7d4,78,129
0,60454fcf-eceb-4faf-9347-8d796e1b5be8,5b21c4ab31d0080001b9f55e,296,256
1,60454fcf-eceb-4faf-9347-8d796e1b5be8,5d5dc2d37bfc8400013b653c,256,296
0,a817f8f3-e988-4799-a15b-e75caa1257da,578b7f0e900cc80001d2e55f,76,138
1,a817f8f3-e988-4799-a15b-e75caa1257da,5f8e2a9201810e1f2b9f63a2,138,76
